Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Alcohol/Vol,Made In,By,Sugar Content,Varietal,Release Date,Lat,Lon,Savings
 Yellow Tail Shiraz,14.95,12.95,4.5,-4,  750 ml bottle ,"From Australia's largest family-owned wine company, a wine that's easy to drink, and easy to understand. It's dry, medium-bodied and softly structured, with aromas and flavours of coffee, floral note, prune, smoke and licorice. The ripe plummy-berry notes lead to a long, spicy finish. Serve with grilled lamb chops.",Red Wine,13.50%,  Australia ,Yellow Tail,11,Shiraz/Syrah,,-24.7761086,134.755,2
 Kim Crawford Chardonnay,20.95,18.95,N/A,0,  750 ml bottle ,"Lively with fresh pastry notes, citrus, nuts, mushrooms and spice, this Chardonnay comes from one of New Zealand's most iconic producers. Makes a delightful sipper, or enjoy with grilled seafood or chicken.",White Wine,13%," Marlborough,   New Zealand ",Kim Crawford,2,Chardonnay,"  April†1,†2022  ",-36.7846223,174.723989,2
 Sister's Run Epiphany Shiraz 2020,19.95,17.95,4.5,-6,  750 ml bottle ,"This is gracefully rich and aromatic on the nose showing dark fruit intensity, cedar, cake spice, floral and subtle mocha notes. The palate is equally attractive with excellent weight and power, wonderfully complemented by velvety texture and finely melded tannins. A blend of grapes from McLaren Vale & Fleurieu Peninsula. At its best: now to 2032. Score - 94. (Sam Kim, wineorbit.co.nz, Oct. 2022)",Red Wine,14%," South Australia,  ",Sister's Run,4,Shiraz/Syrah,"  April†1,†2023  ",-30.5343665,135.6301212,2
 Vicente Faria Animus Douro DO,15,13,4.6,-15,  750 ml bottle ,"Great value, classic Portuguese red made from indigenous varieties grown in the prestigious Douro Valley. Expect a dark ruby garnet colour, and complex upfront aromas and flavours of black plum, chocolate and licorice with a note of wild honey. Palate is dry, medium-bodied and rich with ripe tannins and a long finish.",Red Wine,13%," Douro,   Portugal ",Vicente Faria,12,Red Blend,,41.17004195,-7.304749812,2
 El Gora∫ Monastrell/Syrah/Petit Verdot,16.95,15.95,4.6,-18,  750 ml bottle ,"This blend is based on Monastrell (the predominant red grape in Jumilla), with Syrah and Petit Verdot in support. You will find it to be an intense, concentrated, complex wine with impressive floral, blackberry candy drop, vanilla and toast notes. It's typically robust and hearty. Try it with pork shoulder.",Red Wine,14%," Jumilla,   Spain ",El Gora∫,5,Mourv√®dre Blend,"  April†1,†2022  ",38.4735408,-1.3285417,1
 Woodbridge By Robert Mondavi Sauvignon Blanc,14.8,12.8,4.4,-181,  750 ml bottle ,"Founder Robert Mondavi was a catalyst for the American wine industry. This fruit-forward wine is a light lemon in colour, with upfront aromas and flavours of kiwi, gooseberry, citrus and herbs. Medium-bodied with a refreshingly clean finish; perfectly suited to accompany California spring salad topped with grilled chicken.",White Wine,12.50%,  United States ,Woodbridge By Robert Mondavi,5,Sauvignon Blanc,,39.7837304,-100.445882,2
 Santa Carolina Reserva Chardonnay,15,12.5,4.7,-3,  750 ml bottle ,"Pale straw colour; lifted toasty notes with yellow plum, vanilla and hazelnut fruit; medium bodied with toasty, yellow fruit and vanilla flavours.",White Wine,13.50%,  Chile ,Santa Carolina,3,Chardonnay,,-31.7613365,-71.3187697,2.5
 Woodbridge By Robert Mondavi Merlot,14.8,12.8,4.7,-90,  750 ml bottle ,"Medium ruby colour; lifted cassis, cedar, chocolate and raspberry/blueberry aromas; medium-bodied and dry; ripe cassis and red berry fruit and supple tannins.",Red Wine,13.50%,  United States ,Woodbridge By Robert Mondavi,7,Merlot,,39.7837304,-100.445882,2
 Bask Crisp Rose,13.95,12.95,3.4,-15,  750 ml bottle ,"This ros√© is very dry, low in sugar, and soft and round in texture. Enjoy flavours of red pear, watermelon, caramel and honey with a hint of spice. The perfect match for year-round casual entertaining; superb with salads, grilled fish or chicken with herbs.",Rose Wine,13%,  Canada ,Bask,2,Rose,,61.0666922,-107.991707,1
 Via±a Tarapaca° Gran Reserva Cabernet Sauvignon,18.95,16.95,4.6,-10,  750 ml bottle ,"This classic expression from Tarapac√° has generous black fruit supported by vanilla, savoury herb, and earth notes. The tannins are formidable but integrated. A wine that shows Cabernet's depth, character and pedigree. Serve with grilled lamb or steak.",Red Wine,14%," Maipo Valley,   Chile ",Via±a Tarapaca°,4,Cabernet Sauvignon,"  April†1,†2022  ",-33.808841,-70.738078,2
